stimulus,MOS,CI,subjID_1,subjID_2,subjID_3,subjID_4,subjID_5,subjID_6,subjID_7,subjID_8,subjID_9,subjID_10,subjID_11,subjID_12,subjID_13,subjID_14,subjID_15,subjID_16,subjID_17,subjID_18,subjID_19,subjID_20,subjID_21
bunny,4.52,0.34,5,4,5,3,3,5,5,5,5,5,5,4,5,3,5,5,4,5,5,5,4
bunny_D02_L01,4.71,0.21,5,5,5,4,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4
bunny_D02_L02,3.62,0.3,4,4,5,3,4,3,3,4,4,4,4,4,4,2,4,3,3,3,4,4,3
bunny_D02_L03,2,0.29,1,3,3,2,2,2,1,3,3,2,2,2,2,1,2,2,2,2,2,1,2
bunny_D02_L04,1.14,0.16,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
cube,4.76,0.2,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5
cube_D02_L01,4.57,0.31,5,5,5,3,5,4,5,5,5,4,5,5,5,5,5,4,4,3,5,4,5
cube_D02_L02,3.29,0.44,4,2,4,2,2,3,2,5,4,2,4,4,4,4,4,4,4,3,3,3,2
cube_D02_L03,2.1,0.32,3,2,1,1,3,2,2,3,3,1,3,2,3,1,2,2,2,2,2,2,2
cube_D02_L04,1.38,0.27,2,1,1,1,2,1,2,3,2,1,2,1,2,1,1,1,1,1,1,1,1
dragon,4.43,0.31,4,4,4,4,4,5,5,5,5,5,5,3,5,5,5,5,3,5,4,4,4
dragon_D02_L01,4.19,0.4,4,3,3,3,3,5,4,5,5,5,5,5,5,5,4,5,3,4,5,3,4
dragon_D02_L02,3.43,0.42,5,3,2,4,5,2,3,4,4,3,3,3,4,3,3,5,4,3,4,2,3
dragon_D02_L03,1.71,0.38,1,1,3,2,2,1,1,1,4,1,1,1,1,2,1,2,2,3,2,2,2
dragon_D02_L04,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sphere,4.9,0.14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4
sphere_D02_L01,4.9,0.14,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5
sphere_D02_L02,3.43,0.31,4,4,3,3,3,3,3,4,4,3,4,5,4,4,3,3,3,2,4,3,3
sphere_D02_L03,2.05,0.34,3,2,1,2,2,1,2,2,3,2,2,2,3,1,2,1,4,2,2,2,2
sphere_D02_L04,1.19,0.23,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
vase,4.33,0.39,5,4,5,2,5,4,5,5,5,5,5,5,5,4,4,5,3,4,4,3,4
vase_D02_L01,4.76,0.2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4
vase_D02_L02,3.86,0.33,3,3,3,5,5,3,3,4,4,4,4,4,4,3,4,4,4,5,5,3,4
vase_D02_L03,1.76,0.28,2,1,3,2,3,1,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2
vase_D02_L04,1.19,0.18,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1